mode,fault,stream,bucket_start_ms,trials,requests_mean,error_rate_mean,shed_rate_mean,affected_rate_mean,p99_mean_ms,max_mean_ms
baseline,none,hit,0.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,5000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,10000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,15000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,20000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,25000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,30000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,35000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,40000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,45000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,50000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,55000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,60000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,65000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,70000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,75000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,80000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,85000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,90000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,95000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,100000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,105000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,110000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,115000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,120000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,125000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,130000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,135000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,140000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,hit,145000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,0.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,5000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,10000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,15000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,20000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,25000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,30000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,35000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,40000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,45000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,50000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,55000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,60000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,65000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,70000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,75000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,80000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,85000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,90000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,95000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,100000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
baseline,none,healthy-miss,105000.000,0,0.000,0.000000,0.000000,0.000000,0.000,0.000
